BLOCK,BLOCK00,TAZ
A060014001001000,60014001000000,1005
A060014001001001,60014001000000,1005
A060014001001002,60014001000000,1005
A060014001001003,60014001000000,1005
A060014001001004,60014001000000,1005
A060014001001005,60014001000000,1005
A060014001001006,60014001000000,1005
A060014001001007,60014001000000,1005
A060014001001008,60014001000000,1005
A060014001001009,60014001000000,1005
A060014001001010,60014001000000,1005
A060014001001011,60014001000000,1005
A060014001001012,60014001000000,1005
A060014001001013,60014001000000,1005
A060014001001014,60014001000000,1005
A060014001001015,60014001000000,1005
A060014001001016,60014001000000,1005
A060014001001017,60014001000000,1005
A060014001001018,60014001000000,1005
A060014001001019,60014001000000,1005
A060014001001020,60014001000000,1005
A060014001001021,60014001000000,1005
A060014001001022,60014001000000,1005
A060014001001023,60014001000000,1005
A060014001001024,60014001000000,1005
A060014001001025,60014001000000,1005
A060014001001026,60014001000000,1005
A060014001001027,60014001000000,1005
A060014001001028,60014001000000,1005
A060014001001029,60014001000000,1005
A060014001001030,60014001000000,1005
A060014001001031,60014001000000,1005
A060014001001032,60014001000000,1005
A060014001001033,60014001000000,1005
A060014001001034,60014001000000,1005
A060014001001035,60014001000000,1005
A060014001001036,60014001000000,1005
A060014001001037,60014001000000,1005
A060014001001038,60014001000000,1005
A060014001001039,60014001000000,1005
A060014001001040,60014001000000,1005
A060014001001041,60014001000000,1005
A060014001001042,60014001000000,1005
A060014001001043,60014001000000,1005
A060014002001000,60014002000000,999
A060014002001001,60014002000000,999
A060014002001002,60014002000000,999
A060014002001003,60014002000000,999
A060014002001004,60014002000000,999
A060014002001005,60014002000000,999
A060014002001006,60014002000000,999
A060014002001007,60014002000000,999
A060014002001008,60014002000000,999
A060014002001009,60014002000000,999
A060014002001010,60014002000000,999
A060014002001011,60014002000000,999
A060014002001012,60014002000000,999
A060014002001013,60014002000000,999
A060014002001014,60014002000000,999
A060014002001015,60014002000000,999
A060014002001016,60014002000000,999
A060014002001017,60014002000000,999
A060014002002000,60014002000000,999
A060014002002001,60014002000000,999
A060014002002002,60014002000000,999
A060014002002003,60014002000000,999
A060014002002004,60014002000000,999
A060014002002005,60014002000000,999
A060014002002006,60014002000000,999
A060014002002007,60014002000000,999
A060014002002008,60014002000000,999
A060014002002009,60014002000000,999
A060014002002010,60014002000000,999
A060014002002011,60014002000000,999
A060014002002012,60014002000000,999
A060014003001000,60014003000000,998
A060014003001001,60014003000000,998
A060014003001002,60014003000000,998
A060014003001003,60014003000000,998
A060014003001004,60014003000000,998
A060014003001005,60014003000000,998
A060014003001006,60014003000000,998
A060014003001007,60014003000000,998
A060014003001008,60014003000000,998
A060014003001009,60014003000000,998
A060014003001010,60014003000000,998
A060014003002000,60014003000000,998
A060014003002001,60014003000000,998
A060014003002002,60014003000000,998
A060014003002003,60014003000000,998
A060014003002004,60014003000000,998
A060014003002005,60014003000000,998
A060014003002006,60014003000000,998
A060014003002007,60014003000000,998
A060014003002008,60014003000000,998
A060014003002009,60014003000000,998
A060014003002010,60014003000000,998
A060014003002011,60014003000000,998
A060014003002012,60014003000000,998
A060014003002013,60014003000000,998
A060014003002014,60014003000000,998
A060014003002015,60014003000000,998
A060014003002016,60014003000000,998
A060014003003000,60014003000000,998
A060014003003001,60014003000000,998
A060014003003002,60014003000000,998
A060014003003003,60014003000000,998
A060014003003004,60014003000000,998
A060014003003005,60014003000000,998
A060014003003006,60014003000000,998
A060014003003007,60014003000000,998
A060014003003008,60014003000000,998
A060014003003009,60014003000000,998
A060014003003010,60014003000000,998
A060014003003011,60014003000000,998
A060014003003012,60014003000000,998
A060014003003013,60014003000000,998
A060014003003014,60014003000000,998
A060014003003015,60014003000000,998
A060014003003016,60014003000000,998
A060014003003017,60014003000000,998
A060014003003018,60014003000000,998
A060014003003019,60014003000000,998
A060014003003020,60014003000000,998
A060014003004000,60014003000000,998
A060014003004001,60014003000000,998
A060014003004002,60014003000000,998
A060014003004003,60014003000000,998
A060014003004004,60014003000000,998
A060014003004005,60014003000000,998
A060014003004006,60014003000000,998
A060014003004007,60014003000000,998
A060014003004008,60014003000000,998
A060014003004009,60014003000000,998
A060014003004010,60014003000000,998
A060014003004011,60014003000000,998
A060014003004012,60014003000000,998
A060014003004013,60014003000000,998
A060014003004014,60014003000000,998
A060014003004015,60014003000000,998
A060014003004016,60014003000000,998
A060014004001000,60014004000000,1000
A060014004001001,60014004000000,1000
A060014004001002,60014004000000,1000
A060014004001003,60014004000000,1000
A060014004001004,60014004000000,1000
A060014004001005,60014004000000,1000
A060014004001006,60014004000000,1000
A060014004001007,60014004000000,1000
A060014004002000,60014004000000,1000
A060014004002001,60014004000000,1000
A060014004002002,60014004000000,1000
A060014004002003,60014004000000,1000
A060014004002004,60014004000000,1000
A060014004002005,60014004000000,1000
A060014004002006,60014004000000,1000
A060014004002007,60014004000000,1000
A060014004002008,60014004000000,1000
A060014004002009,60014004000000,1000
A060014004002010,60014004000000,1000
A060014004002011,60014004000000,1000
A060014004002012,60014004000000,1000
A060014004003000,60014004000000,1000
A060014004003001,60014004000000,1000
A060014004003002,60014004000000,1000
A060014004003003,60014004000000,1000
A060014004003004,60014004000000,1000
A060014004003005,60014004000000,1000
A060014004003006,60014004000000,1000
A060014004003007,60014004000000,1000
A060014004003008,60014004000000,1000
A060014004003009,60014004000000,1000
A060014004003010,60014004000000,1000
A060014004004000,60014004000000,1000
A060014004004001,60014004000000,1000
A060014004004002,60014004000000,1000
A060014004004003,60014004000000,1000
A060014004004004,60014004000000,1000
A060014004004005,60014004000000,1000
A060014005001000,60014005000000,1001
A060014005001001,60014005000000,1001
A060014005001002,60014005000000,1001
A060014005001003,60014005000000,1001
A060014005001004,60014005000000,1001
A060014005001005,60014005000000,1001
A060014005001006,60014005000000,1001
A060014005001007,60014005000000,1001
A060014005002000,60014005000000,1001
A060014005002001,60014005000000,1001
A060014005002002,60014005000000,1001
A060014005002003,60014005000000,1001
A060014005002004,60014005000000,1001
A060014005002005,60014005000000,1001
A060014005002006,60014005000000,1001
A060014005003000,60014005000000,1001
A060014005003001,60014005000000,1001
